"STN
Code",Type Water Body,State Name,"Temperature
?C (Min)","Temperature
?C (Max)",Dissolved Oxygen (mg/L) (Min),Dissolved Oxygen (mg/L) (Max),pH (Min),pH (Max),Conductivity (?mhos/cm) (Min),Conductivity (?mhos/cm) (Max),BOD (mg/L) (Min),BOD (mg/L) (Max),Nitrate N + Nitrite N(mg/L) (Min),Nitrate N + Nitrite N(mg/L) (Max),Fecal Coliform (MPN/100ml) (Min),Fecal Coliform (MPN/100ml) (Max),Total Coliform (MPN/100ml) (Min),Total Coliform (MPN/100ml) (Max),Predicted Water Quality
4537.0,0,12,25.0,25.1,4.8,7.4,6.5,7.8,208,521,2.0,10.0,0.30,2.20,23,46000,24000,350000,Poor
4520.0,0,12,25.0,25.0,2.1,4.8,6.5,8.5,671,1238,6.0,36.0,1.50,3.60,4000,79000,24000,540000,Poor
3584.0,0,12,21.0,26.0,0.3,3.6,7.1,8.5,725,1168,8.0,14.0,2.10,4.90,2100,3300,7000,12000,Poor
4521.0,0,12,21.0,25.0,2.1,6.6,6.5,7.6,425,1336,3.0,30.0,1.10,9.40,4000,14000,24000,160000,Poor
3645.0,0,12,25.0,25.0,3.4,6.6,6.1,8.0,185,1114,3.0,8.0,0.30,9.79,4000,120000,24000,1600000,Poor
4539.0,0,12,25.0,25.0,0.3,5.1,6.3,7.4,974,1737,9.0,375.0,1.20,8.00,3300,2300000000,24000,2400000000,Poor
4094.0,0,12,25.0,25.0,0.3,6.0,6.0,7.5,359,3010,5.0,203.0,0.70,13.00,4600,94000000,35000,540000000,Poor
4518.0,0,12,25.0,25.0,4.0,6.2,6.5,7.6,325,1769,4.0,15.0,0.50,4.50,2300,94000,24000,540000,Poor
3613.0,0,12,25.0,25.0,2.0,7.1,6.4,8.4,221,1453,4.0,42.0,0.60,3.60,2300,46000,24000,350000,Poor
3654.0,0,12,25.0,26.0,2.1,6.8,6.1,7.1,240,2720,3.0,34.0,0.30,8.80,4000,120000,24000,920000,Poor
4535.0,0,12,25.0,25.0,4.8,6.4,6.5,7.7,247,371,3.0,11.0,0.40,0.80,1500,15000,16000,160000,Poor
3621.0,0,12,25.0,25.0,1.2,5.9,6.5,8.4,812,1282,4.0,30.0,0.80,5.30,3300,23000,24000,240000,Poor
1446.0,0,12,22.0,29.0,5.2,5.8,7.5,8.5,386,655,3.5,4.8,1.80,6.00,240,790,2200,3800,Poor
3582.0,0,12,19.0,25.0,4.4,6.3,7.5,9.0,986,1549,3.5,7.4,2.30,8.10,910,2600,5800,7000,Poor
3625.0,0,12,25.0,25.0,3.2,6.9,6.4,7.4,303,974,3.0,16.0,0.90,4.00,4000,480000,35000,3500000,Poor
4536.0,0,12,25.0,25.1,0.3,6.0,6.5,7.0,550,1576,5.0,78.0,0.70,4.50,3300,700000,24000,3500000,Poor
3617.0,0,12,25.0,25.0,3.1,7.2,6.9,7.9,217,1466,3.0,10.0,1.00,5.20,3300,17000,24000,160000,Poor
3609.0,0,12,25.0,25.0,2.0,6.4,6.5,7.4,206,738,4.0,16.0,0.50,3.40,4600,330000,35000,2400000,Poor
4546.0,0,12,25.0,25.0,1.0,6.3,6.5,7.4,521,1017,3.0,35.0,1.00,4.20,2300,63000,24000,540000,Poor
3627.0,0,12,25.0,25.0,2.8,6.1,6.5,8.2,447,1323,3.0,13.0,1.27,4.70,2300,700000,24000,16000000,Poor
